"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0122832338904703,0.00302059613593273,0.95,0.00653436913427234,0.0180552401089267,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"2","pointestimate",1,"date_label",202002,0.0122690700887077,0.00305229404401716,0.95,0.00646238868650615,0.0180611290821817,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"3","pointestimate",1,"date_label",202004,0.0122973976922329,0.00298924766350235,0.95,0.00662984212638658,0.0180263566232217,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"4","pointestimate",1,"date_label",202001,0.0122549062869452,0.00308433061424139,0.95,0.00639086340998202,0.0181242916391874,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"5","pointestimate",1,"date_label",202103,0.0136996140667248,0.00325139885463139,0.95,0.00712817116264191,0.0201204033602728,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"6","pointestimate",1,"date_label",202009,0.0123682167010455,0.00283814761095339,0.95,0.0069729699772169,0.0179544804056206,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"7","pointestimate",1,"date_label",202008,0.0123540528992831,0.00286757542600931,0.95,0.00688721282078013,0.0179647317477713,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"8","pointestimate",1,"date_label",202108,0.0137704330755375,0.00342342348473429,0.95,0.00683400652658062,0.0205071729673663,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"9","pointestimate",1,"date_label",202105,0.0137279416702499,0.00331942654283116,0.95,0.00706142215967709,0.0202597061875861,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"10","pointestimate",1,"date_label",202010,0.0123823805028082,0.0028091410415535,0.95,0.00704396993387546,0.0179311466032041,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"11","pointestimate",1,"date_label",202012,0.0124107081063332,0.0027524447182676,0.95,0.00718933717439059,0.0178395126765488,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"12","pointestimate",1,"date_label",202106,0.0137421054720125,0.00335383949258735,0.95,0.0069918523156431,0.0203259098617682,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"13","pointestimate",1,"date_label",202101,0.0136712864631997,0.00318449217597346,0.95,0.00716448988175458,0.0199576022032741,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"14","pointestimate",1,"date_label",202011,0.0123965443045707,0.00278056890099725,0.95,0.00711101999367898,0.0178872535702529,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"15","pointestimate",1,"date_label",202111,0.0138129244808252,0.00352958220857171,0.95,0.0066148016282543,0.0207297760452166,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"16","pointestimate",1,"date_label",202107,0.013756269273775,0.0033885077250758,0.95,0.00691293278867988,0.0204165414145665,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"17","pointestimate",1,"date_label",202104,0.0137137778684874,0.00328527689800099,0.95,0.00710474958026488,0.0201881463960314,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"18","pointestimate",1,"date_label",202109,0.0137845968773,0.00345857927490989,0.95,0.00675508026448397,0.0205962417542908,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"19","pointestimate",1,"date_label",202007,0.0123398890975205,0.00289741165149496,0.95,0.00681835240976603,0.0179683261683389,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"20","pointestimate",1,"date_label",202112,0.0138270882825877,0.00356541558423276,0.95,0.00653792896321197,0.0208168812106426,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"21","pointestimate",1,"date_label",202110,0.0137987606790626,0.0034939678501546,0.95,0.0066795054658467,0.0206608172126609,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"22","pointestimate",1,"date_label",202102,0.0136854502649622,0.0032178009912564,0.95,0.0071515927450252,0.0200450315975518,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"23","pointestimate",1,"date_label",202006,0.0123257252957579,0.0029276438008504,0.95,0.00676406721977374,0.0179809524555153,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"24","pointestimate",1,"date_label",202005,0.0123115614939954,0.00295825973558258,0.95,0.00670705208635556,0.0180123965361098,"Topic 1(Covariate Level: 202003)","category","교통/건축/국토"
"25","pointestimate",2,"date_label",202003,0.049714036803109,0.00377884446348221,0.95,0.0425149697890173,0.0574746367022937,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"26","pointestimate",2,"date_label",202002,0.0496044988416789,0.00382309385572504,0.95,0.0423379832280171,0.0574777377410984,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"27","pointestimate",2,"date_label",202004,0.049823574764539,0.00373514330159366,0.95,0.0427221862071202,0.0574219090363803,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"28","pointestimate",2,"date_label",202001,0.0494949608802488,0.00386787266270707,0.95,0.0421805011594426,0.0574115653009946,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"29","pointestimate",2,"date_label",202103,0.0606678329461164,0.00459324306767375,0.95,0.0523453341801769,0.0701881928731289,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"30","pointestimate",2,"date_label",202009,0.0503712645716894,0.00352556560367644,0.95,0.0436421550118737,0.0575299075964938,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"31","pointestimate",2,"date_label",202008,0.0502617266102593,0.00356622027472563,0.95,0.0434486405523677,0.0575062279071868,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"32","pointestimate",2,"date_label",202108,0.0612155227532667,0.00485198112306414,0.95,0.0524050993797567,0.0712361078669263,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"33","pointestimate",2,"date_label",202105,0.0608869088689765,0.00469589011694698,0.95,0.052380842243084,0.0706175871170018,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"34","pointestimate",2,"date_label",202010,0.0504808025331194,0.00348558599930197,0.95,0.0438151801604438,0.0575617600955084,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"35","pointestimate",2,"date_label",202012,0.0506998784559796,0.00340774662910351,0.95,0.0441811446151532,0.0575458936989202,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"36","pointestimate",2,"date_label",202106,0.0609964468304066,0.0047476469728075,0.95,0.0523890744085604,0.0708193212767279,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"37","pointestimate",2,"date_label",202101,0.0604487570232562,0.00449181749250715,0.95,0.0523111061246029,0.0697364966928698,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"38","pointestimate",2,"date_label",202011,0.0505903404945495,0.00344630495545259,0.95,0.044003683705911,0.0575677883329036,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"39","pointestimate",2,"date_label",202111,0.061544136637557,0.00501040497758229,0.95,0.05239983355944,0.0719186196384517,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
"40","pointestimate",2,"date_label",202107,0.0611059847918366,0.00479968027280136,0.95,0.0524017702955962,0.0710210554364544,"Topic 2(Covariate Level: 202003)","category","교통/건축/국토"
