"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0326652235957879,0.00329147609180136,0.95,0.0267832920534493,0.0392759295040761,"Topic 1(Covariate Level: 202003)","category","기타"
"2","pointestimate",1,"date_label",202002,0.0325653932371239,0.00332631524973165,0.95,0.0266158185515096,0.0392333283839971,"Topic 1(Covariate Level: 202003)","category","기타"
"3","pointestimate",1,"date_label",202004,0.0327650539544518,0.00325707299552284,0.95,0.0269754374489201,0.039312543146483,"Topic 1(Covariate Level: 202003)","category","기타"
"4","pointestimate",1,"date_label",202001,0.03246556287846,0.00336157691139992,0.95,0.026448995478995,0.0392574479565319,"Topic 1(Covariate Level: 202003)","category","기타"
"5","pointestimate",1,"date_label",202103,0.0426482594621786,0.00379222198064742,0.95,0.0354377436930815,0.050192735222125,"Topic 1(Covariate Level: 202003)","category","기타"
"6","pointestimate",1,"date_label",202009,0.0332642057477713,0.00309210144867743,0.95,0.0278455463265336,0.0394366016108436,"Topic 1(Covariate Level: 202003)","category","기타"
"7","pointestimate",1,"date_label",202008,0.0331643753891075,0.00312410661931376,0.95,0.0276793086838401,0.0393986113421329,"Topic 1(Covariate Level: 202003)","category","기타"
"8","pointestimate",1,"date_label",202108,0.0431474112554981,0.00399263463609831,0.95,0.0356157166215304,0.0511289450949934,"Topic 1(Covariate Level: 202003)","category","기타"
"9","pointestimate",1,"date_label",202105,0.0428479201795064,0.00387159105877244,0.95,0.035514591902377,0.0505894420661198,"Topic 1(Covariate Level: 202003)","category","기타"
"10","pointestimate",1,"date_label",202010,0.0333640361064352,0.00306062223770737,0.95,0.0279476821709368,0.0394725125387563,"Topic 1(Covariate Level: 202003)","category","기타"
"11","pointestimate",1,"date_label",202012,0.0335636968237629,0.00299930766126208,0.95,0.0282041432933429,0.0395646059253901,"Topic 1(Covariate Level: 202003)","category","기타"
"12","pointestimate",1,"date_label",202106,0.0429477505381703,0.00391168174622368,0.95,0.0355297655250926,0.0507844453067495,"Topic 1(Covariate Level: 202003)","category","기타"
