"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0153164456158166,0.0116086921573674,0.95,-0.00702457909692187,0.0398740240231781,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"2","pointestimate",1,"date_label",202002,0.0154067951731601,0.0117236702850684,0.95,-0.00715977872994954,0.0401731976964406,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"3","pointestimate",1,"date_label",202004,0.0152260960584732,0.0114945182492798,0.95,-0.00688957987969089,0.0396436480613588,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"4","pointestimate",1,"date_label",202001,0.0154971447305036,0.0118394292019691,0.95,-0.00723812953664882,0.0405114114391115,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"5","pointestimate",1,"date_label",202103,0.00628148988147065,0.00966305386312015,0.95,-0.0119747103215018,0.0250263352473335,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"6","pointestimate",1,"date_label",202009,0.0147743482717558,0.01093658738273,0.95,-0.00618464217302757,0.0378682932408214,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"7","pointestimate",1,"date_label",202008,0.0148646978290994,0.011046360928683,0.95,-0.00617588243206072,0.0382227153116151,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"8","pointestimate",1,"date_label",202108,0.00582974209475316,0.0101537544587868,0.95,-0.0131792994998346,0.025500363749586,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"9","pointestimate",1,"date_label",202105,0.00610079076678363,0.00985542871922655,0.95,-0.01243761198477,0.0251692153186688,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"10","pointestimate",1,"date_label",202010,0.0146839987144124,0.0108277756220018,0.95,-0.00606807993991876,0.0374434248472046,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"11","pointestimate",1,"date_label",202012,0.0145032995997256,0.010613155524253,0.95,-0.00580054716628275,0.0367469969220304,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"12","pointestimate",1,"date_label",202106,0.00601044120944015,0.00995360734454163,0.95,-0.0126347657882237,0.0252502677819741,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"13","pointestimate",1,"date_label",202101,0.00646218899615751,0.00947625742533671,0.95,-0.0114522676297554,0.0248732044333878,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"14","pointestimate",1,"date_label",202011,0.014593649157069,0.0107199549340337,0.95,-0.0059312543926282,0.0370713243839287,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"15","pointestimate",1,"date_label",202111,0.00555869342272302,0.0104629026432271,0.95,-0.0139390831595062,0.0258357204312126,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"16","pointestimate",1,"date_label",202107,0.0059200916520967,0.010053061753806,0.95,-0.0129975317411414,0.0253752094994155,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"17","pointestimate",1,"date_label",202104,0.00619114032412706,0.00975856438402565,0.95,-0.0122366964930787,0.0251348191642805,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"18","pointestimate",1,"date_label",202109,0.00573939253740976,0.0102556489857932,0.95,-0.0134309703816024,0.025610331847324,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"19","pointestimate",1,"date_label",202007,0.0149550473864428,0.0111570678711006,0.95,-0.00629686299181417,0.0385788580316895,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"20","pointestimate",1,"date_label",202112,0.00546834386537946,0.0105681938292705,0.95,-0.0141883804661838,0.0259510844690402,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"21","pointestimate",1,"date_label",202110,0.00564904298006641,0.0103587098693438,0.95,-0.0136599454929119,0.0257344464024742,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"22","pointestimate",1,"date_label",202102,0.006371839438814,0.00956893769511124,0.95,-0.0117069848719886,0.0249344855488851,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"23","pointestimate",1,"date_label",202006,0.0150453969437862,0.0112686807001058,0.95,-0.00647814225366526,0.0389085199735256,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"24","pointestimate",1,"date_label",202005,0.0151357465011298,0.0113811727641969,0.95,-0.00674090126492376,0.0392569961131379,"Topic 1(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"25","pointestimate",2,"date_label",202003,0.0245853684986961,0.0119202661813573,0.95,0.00170437808576671,0.048844824267865,"Topic 2(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"26","pointestimate",2,"date_label",202002,0.0245831662836147,0.0120375486643847,0.95,0.00149613929402702,0.0490879846232616,"Topic 2(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
"27","pointestimate",2,"date_label",202004,0.0245875707137775,0.0118040648383661,0.95,0.0019572646987287,0.0485640109692213,"Topic 2(Covariate Level: 202003)","category","³ó»ê¾îÃÌ"
