"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.00958353953206386,0.00485391061514804,0.95,0.000130332282687375,0.0191183031611731,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"2","pointestimate",1,"date_label",202002,0.00959544706892211,0.00490385436774507,0.95,2.08130349230731e-05,0.0192130691537689,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"3","pointestimate",1,"date_label",202004,0.00957163199520556,0.00480447801971279,0.95,0.000231052711498281,0.0189942304589925,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"4","pointestimate",1,"date_label",202001,0.00960735460578036,0.00495429381875199,0.95,-8.64374786468494e-05,0.0193069492821284,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"5","pointestimate",1,"date_label",202103,0.00839278584623518,0.00498221122354633,0.95,-0.0013610311208323,0.0180527456211383,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"6","pointestimate",1,"date_label",202009,0.00951209431091409,0.00456555754384542,0.95,0.000717931131467477,0.0183440587684416,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"7","pointestimate",1,"date_label",202008,0.00952400184777244,0.00461218538144152,0.95,0.000604178087479346,0.0184798833076873,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"8","pointestimate",1,"date_label",202108,0.0083332481619437,0.00524254952683639,0.95,-0.00195594737023432,0.018534791320319,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"9","pointestimate",1,"date_label",202105,0.00836897077251866,0.00508502574972416,0.95,-0.00168669021260701,0.0182336649874946,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"10","pointestimate",1,"date_label",202010,0.00950018677405583,0.00451954395507006,0.95,0.000770547192681886,0.0182069464022943,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"11","pointestimate",1,"date_label",202012,0.0094763717003392,0.00442943583991197,0.95,0.000925971655012164,0.0179621768053766,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"12","pointestimate",1,"date_label",202106,0.00835706323566028,0.00513710679745098,0.95,-0.00178113888555371,0.0183489135911495,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"13","pointestimate",1,"date_label",202101,0.00841660091995178,0.00488128786343976,0.95,-0.00109214079521149,0.0178955877042792,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"14","pointestimate",1,"date_label",202011,0.00948827923719748,0.00447416356649168,0.95,0.000826359510800123,0.0180698340361403,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"15","pointestimate",1,"date_label",202111,0.008297525551369,0.00540372703304752,0.95,-0.00226261911425825,0.01870534352897,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"16","pointestimate",1,"date_label",202107,0.00834515569880207,0.00518961904225557,0.95,-0.00185605011069309,0.0184567140989931,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"17","pointestimate",1,"date_label",202104,0.00838087830937695,0.00503338928402738,0.95,-0.00151694905182932,0.0181266331453659,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"18","pointestimate",1,"date_label",202109,0.0083213406250855,0.00529588571073678,0.95,-0.00203138161521119,0.0185935999499738,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"19","pointestimate",1,"date_label",202007,0.00953590938463067,0.0046594090270833,0.95,0.000526259757127925,0.0185640717119408,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"20","pointestimate",1,"date_label",202112,0.00828561801451064,0.00545820907572591,0.95,-0.00239517657575847,0.0187805527209458,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"21","pointestimate",1,"date_label",202110,0.00830943308822713,0.00534961545938624,0.95,-0.00213806947815218,0.018626831232514,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
"22","pointestimate",1,"date_label",202102,0.00840469338309347,0.00493150583998086,0.95,-0.00121940532240217,0.0179769232641704,"Topic 1(Covariate Level: 202003)","category","문화/예술/체육/언론"
