"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0257055914576334,0.00971955534098812,0.95,0.0068214359546472,0.0451037989399394,"Topic 1(Covariate Level: 202003)","category","미래"
"2","pointestimate",1,"date_label",202002,0.0255597013660862,0.00980954049722312,0.95,0.00664925932087179,0.0451794679751336,"Topic 1(Covariate Level: 202003)","category","미래"
"3","pointestimate",1,"date_label",202004,0.0258514815491807,0.00963091428576404,0.95,0.00713342058840834,0.0450794872488285,"Topic 1(Covariate Level: 202003)","category","미래"
"4","pointestimate",1,"date_label",202001,0.025413811274539,0.00990083310636675,0.95,0.00633825655660161,0.0452753339499878,"Topic 1(Covariate Level: 202003)","category","미래"
"5","pointestimate",1,"date_label",202103,0.0402946006123575,0.0114566349056657,0.95,0.0195767479400596,0.0644579819110941,"Topic 1(Covariate Level: 202003)","category","미래"
"6","pointestimate",1,"date_label",202009,0.0265809320069169,0.00920920844295548,0.95,0.0084890639684911,0.0449718182580801,"Topic 1(Covariate Level: 202003)","category","미래"
"7","pointestimate",1,"date_label",202008,0.0264350419153697,0.00929055179878555,0.95,0.00825635051216569,0.0449841280495422,"Topic 1(Covariate Level: 202003)","category","미래"
"8","pointestimate",1,"date_label",202108,0.0410240510700935,0.0120058496879335,0.95,0.0194111389728239,0.0666210694549591,"Topic 1(Covariate Level: 202003)","category","미래"
"9","pointestimate",1,"date_label",202105,0.040586380795452,0.0116740144178737,0.95,0.0195164933958188,0.0652311279973471,"Topic 1(Covariate Level: 202003)","category","미래"
"10","pointestimate",1,"date_label",202010,0.0267268220984642,0.00912944523281817,0.95,0.00874901067692378,0.0450438367372802,"Topic 1(Covariate Level: 202003)","category","미래"
"11","pointestimate",1,"date_label",202012,0.0270186022815587,0.00897482693791271,0.95,0.00924322316608795,0.044966073331264,"Topic 1(Covariate Level: 202003)","category","미래"
"12","pointestimate",1,"date_label",202106,0.0407322708869992,0.0117838788733689,0.95,0.0194784151236768,0.0656627668546168,"Topic 1(Covariate Level: 202003)","category","미래"
"13","pointestimate",1,"date_label",202101,0.0400028204292628,0.0112425390756738,0.95,0.0197194893998725,0.0637910613533776,"Topic 1(Covariate Level: 202003)","category","미래"
"14","pointestimate",1,"date_label",202011,0.0268727121900114,0.0090513039428354,0.95,0.00898880686337826,0.0449869657625738,"Topic 1(Covariate Level: 202003)","category","미래"
"15","pointestimate",1,"date_label",202111,0.0414617213447353,0.0123441073014541,0.95,0.0192513855814911,0.0679496422999553,"Topic 1(Covariate Level: 202003)","category","미래"
"16","pointestimate",1,"date_label",202107,0.0408781609785464,0.0118944975795144,0.95,0.0194383119116944,0.0661303966201242,"Topic 1(Covariate Level: 202003)","category","미래"
