"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0132089696627262,0.00788829204502269,0.95,-0.00223901493315166,0.0289506819259526,"Topic 1(Covariate Level: 202003)","category","반려동물"
"2","pointestimate",1,"date_label",202002,0.0131971705575514,0.00797331221521846,0.95,-0.00247334075080436,0.0290512259820229,"Topic 1(Covariate Level: 202003)","category","반려동물"
"3","pointestimate",1,"date_label",202004,0.0132207687679012,0.00780412866873654,0.95,-0.00200120862269406,0.0288017373071521,"Topic 1(Covariate Level: 202003)","category","반려동물"
"4","pointestimate",1,"date_label",202001,0.0131853714523765,0.00805916206311498,0.95,-0.00269014646458867,0.0291874244769464,"Topic 1(Covariate Level: 202003)","category","반려동물"
"5","pointestimate",1,"date_label",202103,0.0143888801802145,0.00824056450098225,0.95,-0.00253192976351952,0.0299985701363639,"Topic 1(Covariate Level: 202003)","category","반려동물"
"6","pointestimate",1,"date_label",202009,0.0132797642937756,0.00739717692755365,0.95,-0.00123399511453695,0.0279869417037,"Topic 1(Covariate Level: 202003)","category","반려동물"
"7","pointestimate",1,"date_label",202008,0.0132679651886007,0.00747661739591095,0.95,-0.0013746743820171,0.0281380076911796,"Topic 1(Covariate Level: 202003)","category","반려동물"
"8","pointestimate",1,"date_label",202108,0.0144478757060889,0.00868885215656436,0.95,-0.00339531160116566,0.0312243961854803,"Topic 1(Covariate Level: 202003)","category","반려동물"
"9","pointestimate",1,"date_label",202105,0.0144124783905642,0.00841778564369054,0.95,-0.00296954408781364,0.0305006122841846,"Topic 1(Covariate Level: 202003)","category","반려동물"
"10","pointestimate",1,"date_label",202010,0.0132915633989505,0.00731877547781307,0.95,-0.00104908831023511,0.0277921685784739,"Topic 1(Covariate Level: 202003)","category","반려동물"
"11","pointestimate",1,"date_label",202012,0.0133151616093002,0.00716522560999226,0.95,-0.000640536111871085,0.0276075223070557,"Topic 1(Covariate Level: 202003)","category","반려동물"
"12","pointestimate",1,"date_label",202106,0.0144242774957391,0.0085074652420024,0.95,-0.00312132783111335,0.0307304154368644,"Topic 1(Covariate Level: 202003)","category","반려동물"
"13","pointestimate",1,"date_label",202101,0.0143652819698647,0.00806635036334445,0.95,-0.00216393961889344,0.0297509087837327,"Topic 1(Covariate Level: 202003)","category","반려동물"
