"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.00684759984168652,0.00216395293826573,0.95,0.00247611899862461,0.0108600790364898,"Topic 1(Covariate Level: 202003)","category","보건복지"
"2","pointestimate",1,"date_label",202002,0.00685892957832714,0.00218566348733477,0.95,0.00246057309136978,0.0109116380998617,"Topic 1(Covariate Level: 202003)","category","보건복지"
"3","pointestimate",1,"date_label",202004,0.00683627010504591,0.00214252040338503,0.95,0.00252082961514093,0.0108072118861028,"Topic 1(Covariate Level: 202003)","category","보건복지"
"4","pointestimate",1,"date_label",202001,0.00687025931496783,0.00220764384841387,0.95,0.00244496822113227,0.0109702036999962,"Topic 1(Covariate Level: 202003)","category","보건복지"
"5","pointestimate",1,"date_label",202103,0.00571462617762287,0.00245269972309933,0.95,0.0010481935717547,0.0105084316079679,"Topic 1(Covariate Level: 202003)","category","보건복지"
"6","pointestimate",1,"date_label",202009,0.00677962142184272,0.00203983070115228,0.95,0.00264794256845016,0.0106248380706285,"Topic 1(Covariate Level: 202003)","category","보건복지"
"7","pointestimate",1,"date_label",202008,0.00679095115848333,0.00205974229597075,0.95,0.00262227242905808,0.0106633937909151,"Topic 1(Covariate Level: 202003)","category","보건복지"
"8","pointestimate",1,"date_label",202108,0.00565797749441964,0.00257731300087425,0.95,0.000761860623516736,0.0107292995759821,"Topic 1(Covariate Level: 202003)","category","보건복지"
"9","pointestimate",1,"date_label",202105,0.00569196670434159,0.00250201053527138,0.95,0.000951118552426601,0.0105890895327881,"Topic 1(Covariate Level: 202003)","category","보건복지"
"10","pointestimate",1,"date_label",202010,0.00676829168520212,0.00202025101748476,0.95,0.00268719817431755,0.0105862823503455,"Topic 1(Covariate Level: 202003)","category","보건복지"
"11","pointestimate",1,"date_label",202012,0.00674563221192078,0.00198212656114913,0.95,0.00273686033586016,0.0104794208115829,"Topic 1(Covariate Level: 202003)","category","보건복지"
