"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.00591279735409415,0.0101957523998852,0.95,-0.0140413986241372,0.0256780505493223,"Topic 1(Covariate Level: 202003)","category","성장동력"
"2","pointestimate",1,"date_label",202002,0.00585985532845511,0.0103008128158092,0.95,-0.0141941884528287,0.0257691791856482,"Topic 1(Covariate Level: 202003)","category","성장동력"
"3","pointestimate",1,"date_label",202004,0.00596573937973305,0.0100918633195221,0.95,-0.0138057494429949,0.0256047392595466,"Topic 1(Covariate Level: 202003)","category","성장동력"
"4","pointestimate",1,"date_label",202001,0.00580691330281626,0.0104070090928963,0.95,-0.0143469782815224,0.0258804436570636,"Topic 1(Covariate Level: 202003)","category","성장동력"
"5","pointestimate",1,"date_label",202103,0.0112069999179882,0.0109307378645817,0.95,-0.0101065326583193,0.0327849485459552,"Topic 1(Covariate Level: 202003)","category","성장동력"
"6","pointestimate",1,"date_label",202009,0.00623044950792769,0.0095913052011396,0.95,-0.012522802304127,0.025295228580456,"Topic 1(Covariate Level: 202003)","category","성장동력"
"7","pointestimate",1,"date_label",202008,0.00617750748228875,0.00968876759798043,0.95,-0.0128153440021538,0.0254323828487221,"Topic 1(Covariate Level: 202003)","category","성장동력"
"8","pointestimate",1,"date_label",202108,0.0114717100461829,0.0115003410467111,0.95,-0.0111533887793785,0.0344035981693494,"Topic 1(Covariate Level: 202003)","category","성장동력"
"9","pointestimate",1,"date_label",202105,0.011312883969266,0.0111559225550662,0.95,-0.0105825865161276,0.0335430002206284,"Topic 1(Covariate Level: 202003)","category","성장동력"
"10","pointestimate",1,"date_label",202010,0.0062833915335667,0.00949524982724793,0.95,-0.0122545627884636,0.0251043038025427,"Topic 1(Covariate Level: 202003)","category","성장동력"
"11","pointestimate",1,"date_label",202012,0.0063892755848446,0.00930753376050304,0.95,-0.0118623157364498,0.0247593742265309,"Topic 1(Covariate Level: 202003)","category","성장동력"
"12","pointestimate",1,"date_label",202106,0.011365825994905,0.0112698700453878,0.95,-0.0107410698236077,0.0338389428436388,"Topic 1(Covariate Level: 202003)","category","성장동력"
"13","pointestimate",1,"date_label",202101,0.0111011158667103,0.010709356478362,0.95,-0.00978212456871735,0.0322821588435955,"Topic 1(Covariate Level: 202003)","category","성장동력"
"14","pointestimate",1,"date_label",202011,0.00633633355920562,0.0094006446071012,0.95,-0.0120600008895478,0.0249348721280345,"Topic 1(Covariate Level: 202003)","category","성장동력"
"15","pointestimate",1,"date_label",202111,0.0116305361230997,0.0118521105153113,0.95,-0.0117049245643505,0.0351665717148068,"Topic 1(Covariate Level: 202003)","category","성장동력"
"16","pointestimate",1,"date_label",202107,0.011418768020544,0.0113846848683632,0.95,-0.0109386721061372,0.0340685761218817,"Topic 1(Covariate Level: 202003)","category","성장동력"
"17","pointestimate",1,"date_label",202104,0.0112599419436271,0.0110428692465346,0.95,-0.0103587224698211,0.0331639743832952,"Topic 1(Covariate Level: 202003)","category","성장동력"
"18","pointestimate",1,"date_label",202109,0.0115246520718218,0.0116168134510334,0.95,-0.0113381420007049,0.034755450013197,"Topic 1(Covariate Level: 202003)","category","성장동력"
