"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.012544956767978,0.00307284258635042,0.95,0.00645062504022276,0.0184675351092499,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"2","pointestimate",1,"date_label",202002,0.0125328422040258,0.00310764245636272,0.95,0.00639319210357741,0.0185104699996276,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"3","pointestimate",1,"date_label",202004,0.0125570713319301,0.0030386801286016,0.95,0.00649437270839801,0.0184209718156648,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"4","pointestimate",1,"date_label",202001,0.0125207276400738,0.00314305856646917,0.95,0.00631822283924244,0.0185597830843106,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"5","pointestimate",1,"date_label",202103,0.0137564131631889,0.00444143262590849,0.95,0.00518766420066568,0.0225228880865284,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"6","pointestimate",1,"date_label",202009,0.0126176441516906,0.00287820870244501,0.95,0.00679256707368429,0.0182076522883519,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"7","pointestimate",1,"date_label",202008,0.0126055295877385,0.00290884732729639,0.95,0.00671663268712031,0.0182455814791434,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"8","pointestimate",1,"date_label",202108,0.0138169859829495,0.00467900360842576,0.95,0.00485268627440441,0.0230274580489961,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"9","pointestimate",1,"date_label",202105,0.0137806422910931,0.00453587233623818,0.95,0.00506616871901331,0.0227248787063924,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"10","pointestimate",1,"date_label",202010,0.0126297587156427,0.00284834571913402,0.95,0.00683318323265771,0.0181508921002282,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"11","pointestimate",1,"date_label",202012,0.0126539878435469,0.00279104562058251,0.95,0.00696644870826089,0.0180313642582679,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"12","pointestimate",1,"date_label",202106,0.0137927568550452,0.00458339263538332,0.95,0.0050046420408159,0.0228415302419955,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"13","pointestimate",1,"date_label",202101,0.0137321840352846,0.0043478375600512,0.95,0.00530829904957458,0.0223556998378133,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"14","pointestimate",1,"date_label",202011,0.0126418732795949,0.00281928302519571,0.95,0.00690515386086745,0.0180987055659218,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"15","pointestimate",1,"date_label",202111,0.0138533296748057,0.00482376104723147,0.95,0.00459765332002618,0.0232809001643283,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"16","pointestimate",1,"date_label",202107,0.0138048714189973,0.00463110501814519,0.95,0.00493860372116571,0.0229368852779731,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"17","pointestimate",1,"date_label",202104,0.013768527727141,0.0044885502214839,0.95,0.00512734677621216,0.0226125331127432,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"18","pointestimate",1,"date_label",202109,0.0138291005469016,0.00472708274581709,0.95,0.00475253092426442,0.0231093892357237,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"19","pointestimate",1,"date_label",202007,0.0125934150237864,0.00294023734616389,0.95,0.00665314360824296,0.0182772897496568,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"20","pointestimate",1,"date_label",202112,0.0138654442387579,0.00487234989277579,0.95,0.00451275241176998,0.0233733936219111,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"21","pointestimate",1,"date_label",202110,0.0138412151108537,0.00477533697695884,0.95,0.00466327197176173,0.0232031686715795,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"22","pointestimate",1,"date_label",202102,0.0137442985992368,0.00439452612800907,0.95,0.00524798162511582,0.0224339629093881,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"23","pointestimate",1,"date_label",202006,0.0125813004598343,0.00297235495350107,0.95,0.00661372686433517,0.0182973907499596,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"24","pointestimate",1,"date_label",202005,0.0125691858958822,0.00300517682125298,0.95,0.00655792496674526,0.018351556172321,"Topic 1(Covariate Level: 202003)","category","안전/환경"
"25","pointestimate",2,"date_label",202003,0.0537294488395205,0.00435817928995214,0.95,0.0452166202732659,0.0622171596478529,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"26","pointestimate",2,"date_label",202002,0.0534300951145881,0.00439941499776946,0.95,0.0448284409426241,0.0620520432683576,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"27","pointestimate",2,"date_label",202004,0.0540288025644531,0.0043178392442849,0.95,0.0455469110263735,0.0623883284699783,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"28","pointestimate",2,"date_label",202001,0.0531307413896556,0.00444152142144776,0.95,0.0444618696417347,0.0617841874706475,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"29","pointestimate",2,"date_label",202103,0.0836648213327739,0.00625387674352835,0.95,0.0716235958348033,0.0958329544684066,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"30","pointestimate",2,"date_label",202009,0.0555255711891156,0.00413047213407317,0.95,0.0473514379327824,0.06352502395538,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"31","pointestimate",2,"date_label",202008,0.0552262174641832,0.00416594742615388,0.95,0.0469656780934418,0.0632605290217049,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"32","pointestimate",2,"date_label",202108,0.0851615899574368,0.00656046288251813,0.95,0.072556578563062,0.0978719441831515,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"33","pointestimate",2,"date_label",202105,0.0842635287826391,0.00637566075329086,0.95,0.0719704375585117,0.0966217465747656,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"34","pointestimate",2,"date_label",202010,0.0558249249140481,0.00409604892043321,0.95,0.0476993031165479,0.0638096946670992,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"35","pointestimate",2,"date_label",202012,0.0564236323639134,0.00403046573252867,0.95,0.0483998809449819,0.0642757233404403,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"36","pointestimate",2,"date_label",202106,0.0845628825075715,0.00643698608224241,0.95,0.0721616554226932,0.0970653254834414,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"37","pointestimate",2,"date_label",202101,0.083066113882909,0.00613330555792237,0.95,0.0711974855210107,0.09512145615804,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"38","pointestimate",2,"date_label",202011,0.0561242786389809,0.00406270452804017,0.95,0.0480538003679536,0.0640463908079004,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"39","pointestimate",2,"date_label",202111,0.0860596511322343,0.00674762980333863,0.95,0.0731172558978413,0.0991403229123948,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"40","pointestimate",2,"date_label",202107,0.0848622362325041,0.00649858940234461,0.95,0.0723595309430923,0.097458506510768,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"41","pointestimate",2,"date_label",202104,0.0839641750577064,0.00631462151474444,0.95,0.0717975716408448,0.0962131274902557,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"42","pointestimate",2,"date_label",202109,0.0854609436823692,0.00662259895062964,0.95,0.0727328525176091,0.0982797169458447,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"43","pointestimate",2,"date_label",202007,0.0549268637392508,0.00420244815315463,0.95,0.0465901593189889,0.063007849202279,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"44","pointestimate",2,"date_label",202112,0.0863590048571669,0.00681051065904316,0.95,0.0732989342317898,0.0995561608974516,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"45","pointestimate",2,"date_label",202110,0.0857602974073017,0.00668499028452669,0.95,0.0729386988011706,0.0987084355329392,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"46","pointestimate",2,"date_label",202102,0.0833654676078415,0.00619343510399261,0.95,0.0714125361000386,0.0954718467565531,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"47","pointestimate",2,"date_label",202006,0.054627510014318,0.00423994783196448,0.95,0.0462516791617091,0.0627854015190987,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"48","pointestimate",2,"date_label",202005,0.0543281562893856,0.00427842019569824,0.95,0.0458919168786849,0.0625785098103586,"Topic 2(Covariate Level: 202003)","category","안전/환경"
"49","pointestimate",3,"date_label",202003,0.0783999725846267,0.00515754733823295,0.95,0.06844795568368,0.0891660626346186,"Topic 3(Covariate Level: 202003)","category","안전/환경"
