"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0220394463705087,0.00549682940838444,0.95,0.0111797263869953,0.0325648105254671,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"2","pointestimate",1,"date_label",202002,0.0220787966756422,0.0055560844273896,0.95,0.0110281758986593,0.0327125665379552,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"3","pointestimate",1,"date_label",202004,0.0220000960653751,0.00543840463061727,0.95,0.0112063299415818,0.0324527403134845,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"4","pointestimate",1,"date_label",202001,0.0221181469807757,0.00561614340847187,0.95,0.0109360625295824,0.0328755362022259,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"5","pointestimate",1,"date_label",202103,0.0181044158571552,0.00676636356142951,0.95,0.00415183798652735,0.0306908426984585,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"6","pointestimate",1,"date_label",202009,0.0218033445397074,0.00515970753493926,0.95,0.0115201587050432,0.0316468162532422,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"7","pointestimate",1,"date_label",202008,0.0218426948448409,0.00521356024809068,0.95,0.0114779510850024,0.0317725589782616,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"8","pointestimate",1,"date_label",202108,0.0179076643314876,0.0071257107140901,0.95,0.00320708770256426,0.0312143225070353,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"9","pointestimate",1,"date_label",202105,0.0180257152468881,0.00690886030956659,0.95,0.00374046465416331,0.0308927170099318,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"10","pointestimate",1,"date_label",202010,0.0217639942345739,0.00510685864623116,0.95,0.0115755984811332,0.031487063529373,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"11","pointestimate",1,"date_label",202012,0.0216852936243068,0.00500429895270646,0.95,0.0116633123498873,0.0312714121053262,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"12","pointestimate",1,"date_label",202106,0.0179863649417546,0.00698074252814101,0.95,0.00358192684070957,0.0310309911171119,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"13","pointestimate",1,"date_label",202101,0.0181831164674223,0.00662564781113023,0.95,0.00456126104937749,0.0305226546837285,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"14","pointestimate",1,"date_label",202011,0.0217246439294403,0.00505504506606051,0.95,0.0116141103540614,0.0313759311162074,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"15","pointestimate",1,"date_label",202111,0.0177896134160869,0.00734599371033298,0.95,0.00269511542474952,0.0315174562060746,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"16","pointestimate",1,"date_label",202107,0.0179470146366211,0.00705303010855099,0.95,0.00340552578254903,0.0311190228293137,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"17","pointestimate",1,"date_label",202104,0.0180650655520217,0.00683739623766624,0.95,0.00393817797219427,0.0307644154445694,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"18","pointestimate",1,"date_label",202109,0.017868314026354,0.00719877244052824,0.95,0.00300708752190839,0.031305784591833,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"19","pointestimate",1,"date_label",202007,0.0218820451499746,0.00526838600291159,0.95,0.0114267845160283,0.0319016291437422,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"20","pointestimate",1,"date_label",202112,0.0177502631109534,0.00742013147217628,0.95,0.00254680157885839,0.0316593220648074,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"21","pointestimate",1,"date_label",202110,0.0178289637212206,0.00727220380084054,0.95,0.00284302635032683,0.03140048296552,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"22","pointestimate",1,"date_label",202102,0.0181437661622887,0.00669577601035669,0.95,0.00436999769894478,0.0306136616839415,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"23","pointestimate",1,"date_label",202006,0.021921395455108,0.00532415473964794,0.95,0.0113499905317404,0.0320922455134672,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"24","pointestimate",1,"date_label",202005,0.0219607457602416,0.00538083713827105,0.95,0.0113010881944106,0.032289945303597,"Topic 1(Covariate Level: 202003)","category","외교/통일/국방"
"25","pointestimate",2,"date_label",202003,0.0271707153380398,0.00589893675094821,0.95,0.0152599189621581,0.0385241714958602,"Topic 2(Covariate Level: 202003)","category","외교/통일/국방"
"26","pointestimate",2,"date_label",202002,0.0270661567882608,0.00596387024215472,0.95,0.014951779285275,0.0384914642874166,"Topic 2(Covariate Level: 202003)","category","외교/통일/국방"
"27","pointestimate",2,"date_label",202004,0.0272752738878189,0.00583502277028664,0.95,0.0154807960622431,0.0385626442846306,"Topic 2(Covariate Level: 202003)","category","외교/통일/국방"
"28","pointestimate",2,"date_label",202001,0.0269615982384817,0.00602979030733896,0.95,0.0146841376377755,0.0384882939520577,"Topic 2(Covariate Level: 202003)","category","외교/통일/국방"
"29","pointestimate",2,"date_label",202103,0.0376265703159457,0.00777377876297532,0.95,0.0227435618681398,0.0536228228753874,"Topic 2(Covariate Level: 202003)","category","외교/통일/국방"
"30","pointestimate",2,"date_label",202009,0.0277980666367142,0.00553196272536794,0.95,0.0166427221438068,0.0384972561303532,"Topic 2(Covariate Level: 202003)","category","외교/통일/국방"
