"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.00903939169446383,0.00298170866936555,0.95,0.0031075631717937,0.0150858139500131,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"2","pointestimate",1,"date_label",202002,0.00898327130730404,0.00301247565643883,0.95,0.0030155104222974,0.0151131365412497,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"3","pointestimate",1,"date_label",202004,0.00909551208162358,0.00295146104258171,0.95,0.00325198554815369,0.015059874279012,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"4","pointestimate",1,"date_label",202001,0.00892715092014427,0.00304374625435168,0.95,0.00290742539916311,0.015141964502017,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"5","pointestimate",1,"date_label",202103,0.0146514304104391,0.00393569113754277,0.95,0.00706225372074666,0.022609235684606,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"6","pointestimate",1,"date_label",202009,0.00937611401742228,0.00280859058943416,0.95,0.00374696060726969,0.0151630589341595,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"7","pointestimate",1,"date_label",202008,0.00931999363026254,0.00283599223540376,0.95,0.003654679777559,0.0151706610850296,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"8","pointestimate",1,"date_label",202108,0.0149320323462379,0.00413778616996379,0.95,0.00691961756452475,0.0232930531835853,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"9","pointestimate",1,"date_label",202105,0.0147636711847586,0.00401589747474825,0.95,0.00700319790046625,0.0228572531045227,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"10","pointestimate",1,"date_label",202010,0.00943223440458209,0.00278181036870263,0.95,0.00383923090455394,0.0151566343511598,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"11","pointestimate",1,"date_label",202012,0.00954447517890158,0.00273018692581225,0.95,0.00404660638608556,0.0151124714416556,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"12","pointestimate",1,"date_label",202106,0.0148197915719183,0.00405632277553597,0.95,0.00698091854637928,0.0230301454413756,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
"13","pointestimate",1,"date_label",202101,0.0145391896361196,0.00385638842531182,0.95,0.00713211141710353,0.0223331555321185,"Topic 1(Covariate Level: 202003)","category","À°¾Æ/±³À°"
