"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0507314458063726,0.00472042764084246,0.95,0.0417957067788606,0.0596878607562696,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"2","pointestimate",1,"date_label",202002,0.0507308196445967,0.00476317386282498,0.95,0.0417292529256894,0.0597794349495892,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"3","pointestimate",1,"date_label",202004,0.0507320719681486,0.0046779984003189,0.95,0.0418785030851187,0.0595769962693296,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"4","pointestimate",1,"date_label",202001,0.0507301934828208,0.00480622860864883,0.95,0.0416510773929441,0.0598225960350576,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"5","pointestimate",1,"date_label",202103,0.0507940619839672,0.00389549823972012,0.95,0.0435191291438175,0.0588238985093199,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"6","pointestimate",1,"date_label",202009,0.0507352027770283,0.00447092042856444,0.95,0.0422886351539206,0.0591469682114866,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"7","pointestimate",1,"date_label",202008,0.0507345766152524,0.004511629115682,0.95,0.0422145423991554,0.0592024869600543,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"8","pointestimate",1,"date_label",202108,0.050797192792847,0.0040690655823654,0.95,0.0431308310985645,0.0591501186078828,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"9","pointestimate",1,"date_label",202105,0.0507953143075192,0.00396333213833463,0.95,0.0433743201691823,0.0589291547621582,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"10","pointestimate",1,"date_label",202010,0.0507358289388043,0.00443058480741155,0.95,0.0423617672796217,0.059112075207425,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"11","pointestimate",1,"date_label",202012,0.0507370812623562,0.00435107416829051,0.95,0.0425828528145946,0.0589319541906304,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"12","pointestimate",1,"date_label",202106,0.0507959404692951,0.00399805943857046,0.95,0.0432719833393842,0.0590228479341749,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"13","pointestimate",1,"date_label",202101,0.0507928096604153,0.0038299205809874,0.95,0.043654114096974,0.0587098156035748,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"14","pointestimate",1,"date_label",202011,0.0507364551005802,0.00439063253402088,0.95,0.0424644160989764,0.0590188562847676,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"15","pointestimate",1,"date_label",202111,0.0507990712781748,0.00417925451398416,0.95,0.0430180759081919,0.0592828466409779,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"16","pointestimate",1,"date_label",202107,0.050796566631071,0.00403330843922868,0.95,0.0432131179028858,0.0591022710927462,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"17","pointestimate",1,"date_label",202104,0.0507946881457432,0.00392914037153116,0.95,0.0434387620018597,0.0588653122719511,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"18","pointestimate",1,"date_label",202109,0.050797818954623,0.00410531759030328,0.95,0.0430846005122043,0.0591751471783978,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"19","pointestimate",1,"date_label",202007,0.0507339504534764,0.00455270086129214,0.95,0.0421297404020629,0.0593227414024333,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"20","pointestimate",1,"date_label",202112,0.0507996974399507,0.00421691430602961,0.95,0.0429077286213633,0.0593512180829181,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"21","pointestimate",1,"date_label",202110,0.0507984451163989,0.00414205146961531,0.95,0.0430612762242401,0.0592144751990328,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"22","pointestimate",1,"date_label",202102,0.0507934358221913,0.00386242010508359,0.95,0.0435747821646315,0.058782086987878,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"23","pointestimate",1,"date_label",202006,0.0507333242917004,0.00459412592811473,0.95,0.042044286832894,0.0593936196655424,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"24","pointestimate",1,"date_label",202005,0.0507326981299245,0.00463589484461931,0.95,0.0419586044759304,0.0594794670642538,"Topic 1(Covariate Level: 202003)","category","인권/성평등"
"25","pointestimate",2,"date_label",202003,0.0400562402690913,0.00424670638955675,0.95,0.0315034425105581,0.0483179785573462,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"26","pointestimate",2,"date_label",202002,0.040015216610491,0.00429053120208241,0.95,0.0313883198016621,0.0483676244226434,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"27","pointestimate",2,"date_label",202004,0.0400972639276916,0.0042033653115162,0.95,0.0316237514018297,0.0482906698068441,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"28","pointestimate",2,"date_label",202001,0.0399741929518906,0.00433482507754124,0.95,0.0312339692903385,0.0484299607747605,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"29","pointestimate",2,"date_label",202103,0.0441586061291205,0.00453362018057859,0.95,0.0355558088214838,0.0533224418445306,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"30","pointestimate",2,"date_label",202009,0.0403023822206931,0.00399446093425401,0.95,0.0323815678823717,0.0481165226877386,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"31","pointestimate",2,"date_label",202008,0.0402613585620927,0.00403514749084147,0.95,0.0322498533638635,0.0481312480282608,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"32","pointestimate",2,"date_label",202108,0.044363724422122,0.00477026435364776,0.95,0.0353002295794203,0.0540195848589452,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"33","pointestimate",2,"date_label",202105,0.0442406534463211,0.00462716685530506,0.95,0.0354452956659013,0.0536286682603058,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"34","pointestimate",2,"date_label",202010,0.0403434058792933,0.0039543556564396,0.95,0.0325006248185878,0.0481151314509804,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"35","pointestimate",2,"date_label",202012,0.0404254531964939,0.00387596085144997,0.95,0.0327381645905708,0.0479998491069903,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"36","pointestimate",2,"date_label",202106,0.0442816771049215,0.00467450693862151,0.95,0.0353832790579546,0.0537578741781429,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"37","pointestimate",2,"date_label",202101,0.04407655881192,0.00444166424398018,0.95,0.0357315631009582,0.0530817323977227,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"38","pointestimate",2,"date_label",202011,0.0403844295378937,0.00391484952199267,0.95,0.0325990803156943,0.0480440197057687,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"39","pointestimate",2,"date_label",202111,0.0444867953979229,0.00491643564786511,0.95,0.0351139864904919,0.0543919058226477,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"40","pointestimate",2,"date_label",202107,0.0443227007635217,0.00472220973184201,0.95,0.0353253771800972,0.0538862038797395,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"41","pointestimate",2,"date_label",202104,0.0441996297877209,0.0045802007286083,0.95,0.035492193233799,0.053478391848667,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
"42","pointestimate",2,"date_label",202109,0.0444047480807223,0.00481866027810201,0.95,0.0352274085296908,0.0541510257222281,"Topic 2(Covariate Level: 202003)","category","인권/성평등"
