"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0119695682912848,0.00529912095945481,0.95,0.00177188013672472,0.0223652293076773,"Topic 1(Covariate Level: 202003)","category","老磊府"
"2","pointestimate",1,"date_label",202002,0.0120046602414796,0.00535031194861684,0.95,0.0017065603425519,0.0224926461690875,"Topic 1(Covariate Level: 202003)","category","老磊府"
"3","pointestimate",1,"date_label",202004,0.0119344763410898,0.0052485525057141,0.95,0.00179382672159842,0.022238191527099,"Topic 1(Covariate Level: 202003)","category","老磊府"
"4","pointestimate",1,"date_label",202001,0.0120397521916745,0.00540210777557923,0.95,0.00161963523963049,0.0226262447871857,"Topic 1(Covariate Level: 202003)","category","老磊府"
"5","pointestimate",1,"date_label",202103,0.00846037327179384,0.00574728546744157,0.95,-0.00284891306994404,0.0197331244232977,"Topic 1(Covariate Level: 202003)","category","老磊府"
"6","pointestimate",1,"date_label",202009,0.0117590165901153,0.00500570052240497,0.95,0.00209089641921976,0.0215211058086657,"Topic 1(Covariate Level: 202003)","category","老磊府"
"7","pointestimate",1,"date_label",202008,0.0117941085403102,0.00505287442187967,0.95,0.00199380324666265,0.0216531339203768,"Topic 1(Covariate Level: 202003)","category","老磊府"
"8","pointestimate",1,"date_label",202108,0.0082849135208193,0.00603074461954096,0.95,-0.00342012601957204,0.0200782211035514,"Topic 1(Covariate Level: 202003)","category","老磊府"
"9","pointestimate",1,"date_label",202105,0.00839018937140403,0.00585930030057851,0.95,-0.00303920064714908,0.0199050070105281,"Topic 1(Covariate Level: 202003)","category","老磊府"
"10","pointestimate",1,"date_label",202010,0.0117239246399203,0.00495926516568811,0.95,0.00208484264338711,0.0213825427522663,"Topic 1(Covariate Level: 202003)","category","老磊府"
"11","pointestimate",1,"date_label",202012,0.0116537407395305,0.00486869427171819,0.95,0.00215361173117015,0.0211502171727344,"Topic 1(Covariate Level: 202003)","category","老磊府"
"12","pointestimate",1,"date_label",202106,0.00835509742120904,0.00591600524819999,0.95,-0.00309219656948114,0.0199409400372931,"Topic 1(Covariate Level: 202003)","category","老磊府"
"13","pointestimate",1,"date_label",202101,0.00853055717218366,0.0056372229283312,0.95,-0.00262626836419022,0.0195336667975669,"Topic 1(Covariate Level: 202003)","category","老磊府"
"14","pointestimate",1,"date_label",202011,0.0116888326897254,0.00491358929033479,0.95,0.00208511212615234,0.0212862750695957,"Topic 1(Covariate Level: 202003)","category","老磊府"
"15","pointestimate",1,"date_label",202111,0.00817963767023454,0.0062059923075872,0.95,-0.00388343060420011,0.0203468334475572,"Topic 1(Covariate Level: 202003)","category","老磊府"
"16","pointestimate",1,"date_label",202107,0.00832000547101421,0.00597315759443733,0.95,-0.00324664277339037,0.019988342508714,"Topic 1(Covariate Level: 202003)","category","老磊府"
"17","pointestimate",1,"date_label",202104,0.00842528132159891,0.00580305586694376,0.95,-0.00297012438065289,0.0198184478137223,"Topic 1(Covariate Level: 202003)","category","老磊府"
"18","pointestimate",1,"date_label",202109,0.00824982157062434,0.00608875399003289,0.95,-0.0035666859250739,0.0201736654482261,"Topic 1(Covariate Level: 202003)","category","老磊府"
"19","pointestimate",1,"date_label",202007,0.0118292004905051,0.00510076637314914,0.95,0.00197010642332068,0.0218302171537662,"Topic 1(Covariate Level: 202003)","category","老磊府"
"20","pointestimate",1,"date_label",202112,0.00814454572003966,0.00626519843321022,0.95,-0.00402252706172179,0.0204145042209682,"Topic 1(Covariate Level: 202003)","category","老磊府"
"21","pointestimate",1,"date_label",202110,0.00821472962042951,0.00614717374921553,0.95,-0.00369664311510309,0.0202702929861023,"Topic 1(Covariate Level: 202003)","category","老磊府"
"22","pointestimate",1,"date_label",202102,0.00849546522198878,0.00569200303588675,0.95,-0.00271884115568097,0.0196426728263837,"Topic 1(Covariate Level: 202003)","category","老磊府"
"23","pointestimate",1,"date_label",202006,0.0118642924407,0.0051493563413786,0.95,0.00189621125271543,0.0219625920625841,"Topic 1(Covariate Level: 202003)","category","老磊府"
"24","pointestimate",1,"date_label",202005,0.0118993843908949,0.00519862475414657,0.95,0.00181995885238679,0.0220968407161394,"Topic 1(Covariate Level: 202003)","category","老磊府"
