"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0065110593434776,0.0129826249823762,0.95,-0.0192999743951978,0.0319766558528262,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"2","pointestimate",1,"date_label",202002,0.00652612357614935,0.0131103144377414,0.95,-0.0195691552246254,0.0322610074092638,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"3","pointestimate",1,"date_label",202004,0.00649599511080613,0.0128563949041957,0.95,-0.0191851230075423,0.0316429573167662,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"4","pointestimate",1,"date_label",202001,0.00654118780882096,0.0132394210448544,0.95,-0.0199378029494239,0.032605469202893,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"5","pointestimate",1,"date_label",202103,0.00500463607631139,0.013767150412822,0.95,-0.0223834969740253,0.0317813259626424,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"6","pointestimate",1,"date_label",202009,0.0064206739474477,0.0122486961867969,0.95,-0.0179797065268614,0.030142317903875,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"7","pointestimate",1,"date_label",202008,0.00643573818011951,0.0123669544012093,0.95,-0.018283979445494,0.0303151799355545,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"8","pointestimate",1,"date_label",202108,0.00492931491295309,0.0144566006288668,0.95,-0.0241495865440166,0.032971097573312,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"9","pointestimate",1,"date_label",202105,0.00497450761096811,0.0140395008394682,0.95,-0.0231675997135218,0.0322048036352889,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"10","pointestimate",1,"date_label",202010,0.00640560971477607,0.012132175695825,0.95,-0.0177235976917853,0.0300050738895088,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"11","pointestimate",1,"date_label",202012,0.00637548124943274,0.011904551228809,0.95,-0.0174097353091233,0.0296621172650725,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"12","pointestimate",1,"date_label",202106,0.00495944337829637,0.0141774242396877,0.95,-0.0234576246229574,0.0325214367990219,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"13","pointestimate",1,"date_label",202101,0.00503476454165472,0.0134996964428574,0.95,-0.0216609310398304,0.0314572598278247,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"14","pointestimate",1,"date_label",202011,0.00639054548210433,0.0120174434750211,0.95,-0.0175536981580084,0.0297995101484835,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"15","pointestimate",1,"date_label",202111,0.00488412221493805,0.0148832189116172,0.95,-0.0249790855737995,0.033672893517312,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"16","pointestimate",1,"date_label",202107,0.00494437914562467,0.0143164682811717,0.95,-0.0238235699962779,0.0327861485055415,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"17","pointestimate",1,"date_label",202104,0.00498957184363966,0.0139027314328452,0.95,-0.0227994400565031,0.0319330628986119,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"18","pointestimate",1,"date_label",202109,0.00491425068028137,0.0145977899410274,0.95,-0.0243909899950978,0.0332371380841634,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
"19","pointestimate",1,"date_label",202007,0.00645080241279104,0.0124869009674049,0.95,-0.0184738114834047,0.0306293245225005,"Topic 1(Covariate Level: 202003)","category","저출산/고령화대책"
