"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.104891740502144,0.00549574001495306,0.95,0.0926072900960959,0.114965912615327,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"2","pointestimate",1,"date_label",202002,0.104744759513847,0.00555718163478217,0.95,0.0923930911543161,0.114948965453532,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"3","pointestimate",1,"date_label",202004,0.105038721490441,0.00543519247352762,0.95,0.0927648862292661,0.114977896515477,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"4","pointestimate",1,"date_label",202001,0.104597778525549,0.00561948800642051,0.95,0.0921439556789959,0.114934737980041,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"5","pointestimate",1,"date_label",202103,0.119589839331867,0.0070354278563136,0.95,0.106865269860522,0.134373950705834,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"6","pointestimate",1,"date_label",202009,0.105773626431927,0.00514695411102922,0.95,0.093875867420554,0.114947897881248,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"7","pointestimate",1,"date_label",202008,0.10562664544363,0.00520256053275817,0.95,0.093683657287956,0.114914614167146,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"8","pointestimate",1,"date_label",202108,0.120324744273353,0.00741585356353166,0.95,0.106751000405251,0.136075998485623,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"9","pointestimate",1,"date_label",202105,0.119883801308462,0.00718641049037124,0.95,0.106826073873297,0.135077571793957,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"10","pointestimate",1,"date_label",202010,0.105920607420225,0.00509243610341908,0.95,0.0940506579218846,0.115062993341105,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"11","pointestimate",1,"date_label",202012,0.106214569396819,0.00498680740826753,0.95,0.0945678975134001,0.115170485011912,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"12","pointestimate",1,"date_label",202106,0.120030782296759,0.00726250807414269,0.95,0.106802997008376,0.135429382338016,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"13","pointestimate",1,"date_label",202101,0.119295877355273,0.00688615043373455,0.95,0.106855704221311,0.133670329617723,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"14","pointestimate",1,"date_label",202011,0.106067588408522,0.00503904183710652,0.95,0.0942778967900574,0.115129536835458,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"15","pointestimate",1,"date_label",202111,0.120765687238245,0.00764857420153729,0.95,0.106690657778428,0.136940784783653,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"16","pointestimate",1,"date_label",202107,0.120177763285056,0.00733899309443725,0.95,0.106799648396961,0.135780358618447,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"17","pointestimate",1,"date_label",202104,0.119736820320165,0.00711071278196408,0.95,0.106841609234794,0.134725761249894,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"18","pointestimate",1,"date_label",202109,0.120471725261651,0.00749307792790325,0.95,0.106768452471094,0.136373703274017,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"19","pointestimate",1,"date_label",202007,0.105479664455333,0.00525922084488993,0.95,0.0933910413604023,0.114904696537356,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"20","pointestimate",1,"date_label",202112,0.120912668226542,0.0077268250298116,0.95,0.106645675611082,0.137201255008357,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"21","pointestimate",1,"date_label",202110,0.120618706249948,0.00757065505183384,0.95,0.106735639945772,0.136671408062411,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"22","pointestimate",1,"date_label",202102,0.11944285834357,0.00696056910730294,0.95,0.10687121549411,0.134022140161775,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"23","pointestimate",1,"date_label",202006,0.105332683467036,0.00531690135473441,0.95,0.0931095508531271,0.114924767775757,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"24","pointestimate",1,"date_label",202005,0.105185702478738,0.00537556922185582,0.95,0.0929224823624382,0.114992236454536,"Topic 1(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"25","pointestimate",2,"date_label",202003,0.01760943867211,0.00428890726888475,0.95,0.0096268312753156,0.0259536832125241,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"26","pointestimate",2,"date_label",202002,0.0175670561643308,0.00433372370269716,0.95,0.00952248456398017,0.0260267528465205,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"27","pointestimate",2,"date_label",202004,0.0176518211798892,0.00424473052838572,0.95,0.00971854491083093,0.0258952535651873,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"28","pointestimate",2,"date_label",202001,0.0175246736565515,0.00437916018995555,0.95,0.00941591937047029,0.0260621511457664,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"29","pointestimate",2,"date_label",202103,0.0218476894500374,0.00524021666064218,0.95,0.0114207597942989,0.0321362872938757,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"30","pointestimate",2,"date_label",202009,0.0178637337187856,0.00403416717085138,0.95,0.0102500275549836,0.0258561004487967,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"31","pointestimate",2,"date_label",202008,0.0178213512110064,0.00407483211017728,0.95,0.0101304361536051,0.0258564549282459,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"32","pointestimate",2,"date_label",202108,0.0220596019889337,0.00551298790929145,0.95,0.0111253515162463,0.0329382257299519,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"33","pointestimate",2,"date_label",202105,0.0219324544655958,0.00534834505826297,0.95,0.0113083064104026,0.032464577330857,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"34","pointestimate",2,"date_label",202010,0.0179061162265649,0.00399427090547983,0.95,0.0103741698851938,0.0258439454536426,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"35","pointestimate",2,"date_label",202012,0.0179908812421235,0.00391687789924237,0.95,0.0105637849961016,0.0257714950701515,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"36","pointestimate",2,"date_label",202106,0.0219748369733752,0.00540290920428527,0.95,0.0112636671362743,0.0326272928668212,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"37","pointestimate",2,"date_label",202101,0.0217629244344787,0.00513349155153459,0.95,0.0115625190413273,0.0318198340905837,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"38","pointestimate",2,"date_label",202011,0.0179484987343442,0.00395516657526526,0.95,0.0104834690700407,0.0258166997767722,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"39","pointestimate",2,"date_label",202111,0.0221867495122715,0.00568034346879189,0.95,0.0109246921630436,0.0334132739005815,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"40","pointestimate",2,"date_label",202107,0.0220172194811544,0.00545779334026128,0.95,0.0111899363676238,0.0327827592983874,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"41","pointestimate",2,"date_label",202104,0.0218900719578166,0.00529411079620416,0.95,0.0113541831439154,0.0322973830504171,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"42","pointestimate",2,"date_label",202109,0.022101984496713,0.00556848368038677,0.95,0.0110261317921944,0.0330977067911339,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"43","pointestimate",2,"date_label",202007,0.0177789687032271,0.00411624294200842,0.95,0.0100524744203966,0.0258457052051428,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"44","pointestimate",2,"date_label",202112,0.0222291320200508,0.005736690556185,0.95,0.0108831937014738,0.0335718728887408,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"45","pointestimate",2,"date_label",202110,0.0221443670044922,0.00562427173749788,0.95,0.0109627984633381,0.0332593754803781,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"46","pointestimate",2,"date_label",202102,0.021805306942258,0.00518667325423549,0.95,0.0114893835752823,0.0319611884302301,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"47","pointestimate",2,"date_label",202006,0.0177365861954478,0.00415837738269161,0.95,0.00994935005067634,0.0258201681202198,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"48","pointestimate",2,"date_label",202005,0.0176942036876685,0.00420121366082154,0.95,0.0098585593663838,0.0258532916034479,"Topic 2(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"49","pointestimate",3,"date_label",202003,0.0252174858407679,0.00452474327562061,0.95,0.0163914631351651,0.0340255893466598,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"50","pointestimate",3,"date_label",202002,0.0252373288586658,0.0045736930626246,0.95,0.0163166388036111,0.0341563884626034,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"51","pointestimate",3,"date_label",202004,0.02519764282287,0.00447652649141546,0.95,0.0164502085399741,0.0338833632048836,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"52","pointestimate",3,"date_label",202001,0.0252571718765637,0.00462335257046495,0.95,0.0162704803929568,0.0342421083936063,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"53","pointestimate",3,"date_label",202103,0.0232331840509751,0.00576849686315506,0.95,0.0127332418446979,0.035685041679926,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"54","pointestimate",3,"date_label",202009,0.0250984277333803,0.00424729815319828,0.95,0.016741743326356,0.0331930816206414,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"55","pointestimate",3,"date_label",202008,0.0251182707512783,0.00429147791437898,0.95,0.0166943583479358,0.0333530641447697,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"56","pointestimate",3,"date_label",202108,0.0231339689614855,0.00607422064863758,0.95,0.0119876195380224,0.0362341430391102,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"57","pointestimate",3,"date_label",202105,0.0231934980151792,0.00588979910648729,0.95,0.0124167525143372,0.0359194674279103,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"58","pointestimate",3,"date_label",202010,0.0250785847154824,0.00420400460913366,0.95,0.0167893321511584,0.0330854498478688,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"59","pointestimate",3,"date_label",202012,0.0250388986796866,0.00412018734685961,0.95,0.0169401546040036,0.0328537182955469,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"60","pointestimate",3,"date_label",202106,0.0231736549972813,0.00595095400758571,0.95,0.012257593458655,0.0360248161398253,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"61","pointestimate",3,"date_label",202101,0.0232728700867709,0.00564861005569252,0.95,0.0130241237086172,0.0354792679636625,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"62","pointestimate",3,"date_label",202011,0.0250587416975845,0.00416162494032924,0.95,0.0168473867791812,0.0329656197659216,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"63","pointestimate",3,"date_label",202111,0.0230744399077916,0.00626137106486821,0.95,0.0116271276882832,0.0366012514611674,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"64","pointestimate",3,"date_label",202107,0.0231538119793834,0.00601243111602275,0.95,0.0121484026754875,0.036128621126111,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
"65","pointestimate",3,"date_label",202104,0.0232133410330771,0.00582897655408351,0.95,0.01257721429046,0.0358003964356734,"Topic 3(Covariate Level: 202003)","category","Á¤Ä¡°³Çõ"
