"","method","topic","covariate","covariate.value","estimate","std.error","ci.level","ci.lower","ci.upper","label","moderator","moderator.value"
"1","pointestimate",1,"date_label",202003,0.0304906099723712,0.00385263311653549,0.95,0.0232283624376645,0.0380937643859534,"Topic 1(Covariate Level: 202003)","category","青沥"
"2","pointestimate",1,"date_label",202002,0.0304647359432458,0.00388962477956339,0.95,0.0231480926612239,0.0381277436870933,"Topic 1(Covariate Level: 202003)","category","青沥"
"3","pointestimate",1,"date_label",202004,0.0305164840014965,0.00381619788054102,0.95,0.0233311204210127,0.0380919291923822,"Topic 1(Covariate Level: 202003)","category","青沥"
"4","pointestimate",1,"date_label",202001,0.0304388619141204,0.00392715714594514,0.95,0.0230552721868762,0.0381863088899418,"Topic 1(Covariate Level: 202003)","category","青沥"
"5","pointestimate",1,"date_label",202103,0.0330780128849059,0.0046334316384177,0.95,0.0239702423630479,0.0425532966734241,"Topic 1(Covariate Level: 202003)","category","青沥"
"6","pointestimate",1,"date_label",202009,0.0306458541471233,0.00364294356905881,0.95,0.0237220068460552,0.0380786687493325,"Topic 1(Covariate Level: 202003)","category","青沥"
"7","pointestimate",1,"date_label",202008,0.0306199801179979,0.00367634830702877,0.95,0.023627670175853,0.0380852116345571,"Topic 1(Covariate Level: 202003)","category","青沥"
"8","pointestimate",1,"date_label",202108,0.0332073830305326,0.0048613894809327,0.95,0.0236252074001138,0.0432845367465066,"Topic 1(Covariate Level: 202003)","category","青沥"
"9","pointestimate",1,"date_label",202105,0.0331297609431566,0.0047237174279271,0.95,0.0238331814039938,0.0428298598445928,"Topic 1(Covariate Level: 202003)","category","青沥"
"10","pointestimate",1,"date_label",202010,0.0306717281762486,0.00361019696804594,0.95,0.0238370673876208,0.0380768350282286,"Topic 1(Covariate Level: 202003)","category","青沥"
"11","pointestimate",1,"date_label",202012,0.0307234762344993,0.00354675072898148,0.95,0.0239825731660088,0.0380626796178153,"Topic 1(Covariate Level: 202003)","category","青沥"
"12","pointestimate",1,"date_label",202106,0.0331556349722819,0.00476931757449527,0.95,0.0237605254755694,0.0429965057875995,"Topic 1(Covariate Level: 202003)","category","青沥"
"13","pointestimate",1,"date_label",202101,0.0330262648266551,0.00454442564784878,0.95,0.0241066276788836,0.0422984858264734,"Topic 1(Covariate Level: 202003)","category","青沥"
"14","pointestimate",1,"date_label",202011,0.030697602205374,0.00357812657361591,0.95,0.0238959825319919,0.0380956337482903,"Topic 1(Covariate Level: 202003)","category","青沥"
"15","pointestimate",1,"date_label",202111,0.0332850051179086,0.00500155565635601,0.95,0.0234172333962297,0.043627636396845,"Topic 1(Covariate Level: 202003)","category","青沥"
"16","pointestimate",1,"date_label",202107,0.0331815090014073,0.00481521102776016,0.95,0.0236945320680702,0.0431525819390118,"Topic 1(Covariate Level: 202003)","category","青沥"
"17","pointestimate",1,"date_label",202104,0.0331038869140311,0.00467841916456851,0.95,0.0239025060719506,0.0426849601428787,"Topic 1(Covariate Level: 202003)","category","青沥"
"18","pointestimate",1,"date_label",202109,0.0332332570596579,0.00490784488923296,0.95,0.0235521718298752,0.0433900555145658,"Topic 1(Covariate Level: 202003)","category","青沥"
"19","pointestimate",1,"date_label",202007,0.0305941060888726,0.00371039340634197,0.95,0.0235547640811161,0.0380868685233114,"Topic 1(Covariate Level: 202003)","category","青沥"
"20","pointestimate",1,"date_label",202112,0.033310879147034,0.00504879616730898,0.95,0.0233479087282696,0.0437513815387747,"Topic 1(Covariate Level: 202003)","category","青沥"
"21","pointestimate",1,"date_label",202110,0.0332591310887833,0.00495456946224436,0.95,0.0234715214797316,0.0435038912549163,"Topic 1(Covariate Level: 202003)","category","青沥"
"22","pointestimate",1,"date_label",202102,0.0330521388557805,0.0045887639887408,0.95,0.0240021417732246,0.0424151901817327,"Topic 1(Covariate Level: 202003)","category","青沥"
"23","pointestimate",1,"date_label",202006,0.0305682320597472,0.00374506140310743,0.95,0.0234780099104603,0.0380885254120649,"Topic 1(Covariate Level: 202003)","category","青沥"
"24","pointestimate",1,"date_label",202005,0.0305423580306219,0.00378033516030679,0.95,0.0234172670877841,0.0380893414838901,"Topic 1(Covariate Level: 202003)","category","青沥"
"25","pointestimate",2,"date_label",202003,0.0308384535144221,0.0038838014166942,0.95,0.0231801303228156,0.0383494391847239,"Topic 2(Covariate Level: 202003)","category","青沥"
"26","pointestimate",2,"date_label",202002,0.0307992583360656,0.0039217354102482,0.95,0.023074892516739,0.0383489297857578,"Topic 2(Covariate Level: 202003)","category","青沥"
"27","pointestimate",2,"date_label",202004,0.0308776486927787,0.00384633805491049,0.95,0.0233141986186771,0.0382922430605396,"Topic 2(Covariate Level: 202003)","category","青沥"
"28","pointestimate",2,"date_label",202001,0.030760063157709,0.00396012651107111,0.95,0.0229562735621798,0.0383513256852672,"Topic 2(Covariate Level: 202003)","category","青沥"
"29","pointestimate",2,"date_label",202103,0.0347579713500814,0.00427670010057345,0.95,0.0263855693590265,0.0429229284997311,"Topic 2(Covariate Level: 202003)","category","青沥"
"30","pointestimate",2,"date_label",202009,0.0310736245845618,0.0036665793260957,0.95,0.0238874601026095,0.03818548739863,"Topic 2(Covariate Level: 202003)","category","青沥"
"31","pointestimate",2,"date_label",202008,0.0310344294062051,0.00370147404504516,0.95,0.0237914971008067,0.0381959127857048,"Topic 2(Covariate Level: 202003)","category","青沥"
"32","pointestimate",2,"date_label",202108,0.0349539472418643,0.00448957085024561,0.95,0.0260558936703657,0.0434907893169232,"Topic 2(Covariate Level: 202003)","category","青沥"
"33","pointestimate",2,"date_label",202105,0.0348363617067946,0.00436086027084718,0.95,0.026247495472021,0.0431919618348715,"Topic 2(Covariate Level: 202003)","category","青沥"
"34","pointestimate",2,"date_label",202010,0.0311128197629183,0.003632243931095,0.95,0.0239937391324883,0.0381786623302438,"Topic 2(Covariate Level: 202003)","category","青沥"
"35","pointestimate",2,"date_label",202012,0.0311912101196315,0.00356531548840599,0.95,0.0242103357614313,0.0380989328629208,"Topic 2(Covariate Level: 202003)","category","青沥"
"36","pointestimate",2,"date_label",202106,0.0348755568851512,0.00440344397440003,0.95,0.026170642196057,0.04329644732761,"Topic 2(Covariate Level: 202003)","category","青沥"
