,method,topic,covariate,covariate.value,estimate,std.error,ci.level,ci.lower,ci.upper,label
1,pointestimate,1,date_label,202003,0.023946989,0.001220281,0.95,0.021402443,0.026268576,Topic 1(Covariate Level: 202003)
2,pointestimate,1,date_label,202002,0.02391866,0.001232774,0.95,0.021356433,0.026257265,Topic 1(Covariate Level: 202003)
3,pointestimate,1,date_label,202004,0.023975319,0.001207921,0.95,0.021452968,0.026279811,Topic 1(Covariate Level: 202003)
4,pointestimate,1,date_label,202001,0.02389033,0.001245396,0.95,0.021299143,0.026251955,Topic 1(Covariate Level: 202003)
5,pointestimate,1,date_label,202103,0.026779945,0.001272106,0.95,0.024293676,0.02941216,Topic 1(Covariate Level: 202003)
6,pointestimate,1,date_label,202009,0.024116967,0.001148254,0.95,0.02171877,0.026305514,Topic 1(Covariate Level: 202003)
7,pointestimate,1,date_label,202008,0.024088637,0.001159888,0.95,0.021663504,0.026304428,Topic 1(Covariate Level: 202003)
8,pointestimate,1,date_label,202108,0.026921593,0.001338181,0.95,0.024279857,0.029665118,Topic 1(Covariate Level: 202003)
9,pointestimate,1,date_label,202105,0.026836604,0.001298208,0.95,0.024289056,0.029521595,Topic 1(Covariate Level: 202003)
10,pointestimate,1,date_label,202010,0.024145296,0.00113678,0.95,0.021776208,0.026308713,Topic 1(Covariate Level: 202003)
11,pointestimate,1,date_label,202012,0.024201955,0.001114328,0.95,0.021880248,0.026331065,Topic 1(Covariate Level: 202003)
12,pointestimate,1,date_label,202106,0.026864934,0.001311427,0.95,0.024287392,0.029571872,Topic 1(Covariate Level: 202003)
13,pointestimate,1,date_label,202101,0.026723286,0.001246471,0.95,0.024296792,0.029290235,Topic 1(Covariate Level: 202003)
14,pointestimate,1,date_label,202011,0.024173626,0.001125469,0.95,0.021824956,0.026318173,Topic 1(Covariate Level: 202003)
15,pointestimate,1,date_label,202111,0.027006582,0.001379058,0.95,0.024292785,0.029834009,Topic 1(Covariate Level: 202003)
16,pointestimate,1,date_label,202107,0.026893263,0.001324752,0.95,0.024284959,0.029620588,Topic 1(Covariate Level: 202003)
17,pointestimate,1,date_label,202104,0.026808275,0.0012851,0.95,0.024293704,0.02946756,Topic 1(Covariate Level: 202003)
18,pointestimate,1,date_label,202109,0.026949923,0.00135171,0.95,0.02428255,0.02971598,Topic 1(Covariate Level: 202003)
19,pointestimate,1,date_label,202007,0.024060307,0.001171676,0.95,0.021606902,0.026301153,Topic 1(Covariate Level: 202003)
20,pointestimate,1,date_label,202112,0.027034911,0.001392871,0.95,0.02429369,0.029902143,Topic 1(Covariate Level: 202003)
21,pointestimate,1,date_label,202110,0.026978252,0.001365337,0.95,0.024280591,0.02976792,Topic 1(Covariate Level: 202003)
22,pointestimate,1,date_label,202102,0.026751616,0.001259228,0.95,0.024293631,0.029351197,Topic 1(Covariate Level: 202003)
23,pointestimate,1,date_label,202006,0.024031978,0.001183614,0.95,0.021559491,0.026305659,Topic 1(Covariate Level: 202003)
24,pointestimate,1,date_label,202005,0.024003648,0.001195697,0.95,0.021506328,0.02629613,Topic 1(Covariate Level: 202003)
25,pointestimate,2,date_label,202003,0.028888213,0.001122408,0.95,0.026721958,0.031184754,Topic 2(Covariate Level: 202003)
26,pointestimate,2,date_label,202002,0.028805327,0.001134357,0.95,0.026624489,0.031119798,Topic 2(Covariate Level: 202003)
27,pointestimate,2,date_label,202004,0.028971098,0.001110637,0.95,0.026826966,0.031240738,Topic 2(Covariate Level: 202003)
28,pointestimate,2,date_label,202001,0.028722442,0.001146477,0.95,0.0265238,0.031051037,Topic 2(Covariate Level: 202003)
29,pointestimate,2,date_label,202103,0.037176773,0.001410904,0.95,0.034524097,0.039939946,Topic 2(Covariate Level: 202003)
30,pointestimate,2,date_label,202009,0.029385526,0.001054639,0.95,0.027340879,0.031515332,Topic 2(Covariate Level: 202003)
31,pointestimate,2,date_label,202008,0.029302641,0.001065437,0.95,0.02723821,0.031458722,Topic 2(Covariate Level: 202003)
32,pointestimate,2,date_label,202108,0.037591201,0.00148504,0.95,0.034787543,0.040478859,Topic 2(Covariate Level: 202003)
33,pointestimate,2,date_label,202105,0.037342544,0.00144031,0.95,0.034623633,0.040141833,Topic 2(Covariate Level: 202003)
34,pointestimate,2,date_label,202010,0.029468412,0.001044054,0.95,0.027449026,0.0315728,Topic 2(Covariate Level: 202003)
35,pointestimate,2,date_label,202012,0.029634183,0.001023551,0.95,0.027664326,0.031696847,Topic 2(Covariate Level: 202003)
36,pointestimate,2,date_label,202106,0.03742543,0.001455139,0.95,0.034671064,0.040251787,Topic 2(Covariate Level: 202003)
37,pointestimate,2,date_label,202101,0.037011002,0.001381854,0.95,0.034420111,0.039721701,Topic 2(Covariate Level: 202003)
38,pointestimate,2,date_label,202011,0.029551298,0.00103369,0.95,0.027562104,0.031637909,Topic 2(Covariate Level: 202003)
39,pointestimate,2,date_label,202111,0.037839858,0.00153046,0.95,0.034955797,0.040823092,Topic 2(Covariate Level: 202003)
40,pointestimate,2,date_label,202107,0.037508315,0.001470051,0.95,0.034730758,0.040364114,Topic 2(Covariate Level: 202003)
41,pointestimate,2,date_label,202104,0.037259659,0.001425563,0.95,0.034578598,0.040040717,Topic 2(Covariate Level: 202003)
42,pointestimate,2,date_label,202109,0.037674087,0.001500107,0.95,0.03484787,0.040593603,Topic 2(Covariate Level: 202003)
43,pointestimate,2,date_label,202007,0.029219755,0.001076442,0.95,0.027142709,0.031400418,Topic 2(Covariate Level: 202003)
