,method,topic,covariate,covariate.value,estimate,std.error,ci.level,ci.lower,ci.upper,label
1,pointestimate,1,label,1,0.043239746,0.00395296,0.95,0.035994202,0.051076464,Topic 1(Covariate Level: 1)
2,pointestimate,1,label,2,0.043868799,0.003708818,0.95,0.03705922,0.051214172,Topic 1(Covariate Level: 1)
3,pointestimate,1,label,8,0.047643115,0.002613894,0.95,0.042761365,0.052932295,Topic 1(Covariate Level: 1)
4,pointestimate,1,label,16,0.052675537,0.003011615,0.95,0.046760711,0.058431279,Topic 1(Covariate Level: 1)
5,pointestimate,1,label,3,0.044497852,0.003477004,0.95,0.038097879,0.051351066,Topic 1(Covariate Level: 1)
6,pointestimate,1,label,9,0.048272168,0.002528907,0.95,0.04354666,0.053391331,Topic 1(Covariate Level: 1)
7,pointestimate,1,label,4,0.045126905,0.003260148,0.95,0.039089632,0.051513428,Topic 1(Covariate Level: 1)
8,pointestimate,1,label,5,0.045755957,0.003061431,0.95,0.040045037,0.051782589,Topic 1(Covariate Level: 1)
9,pointestimate,1,label,6,0.04638501,0.002884603,0.95,0.041035585,0.052126637,Topic 1(Covariate Level: 1)
10,pointestimate,1,label,23,0.057078906,0.004666767,0.95,0.047827745,0.066093398,Topic 1(Covariate Level: 1)
11,pointestimate,1,label,7,0.047014063,0.002733916,0.95,0.04188974,0.052489762,Topic 1(Covariate Level: 1)
12,pointestimate,1,label,22,0.056449854,0.004398727,0.95,0.047735826,0.06490697,Topic 1(Covariate Level: 1)
13,pointestimate,1,label,24,0.057707959,0.004940992,0.95,0.047837058,0.067231676,Topic 1(Covariate Level: 1)
14,pointestimate,1,label,10,0.048901221,0.002482555,0.95,0.044187646,0.053866833,Topic 1(Covariate Level: 1)
15,pointestimate,1,label,11,0.049530274,0.00247701,0.95,0.044840422,0.054409916,Topic 1(Covariate Level: 1)
16,pointestimate,1,label,12,0.050159326,0.002512541,0.95,0.045367246,0.055105263,Topic 1(Covariate Level: 1)
