,crawled_at,category,begin,num_agree,petition_idx,status,title,content,label,whattopic
1,2021-12-19 15:41,보건복지,2020-01-03,426,584301,청원종료,"""장애등급 판정기준에 해당하지 않는"" 희귀난치성질환 환자를 위한 개혁이 필요합니다.",링크 첨부 신문 기사 내용 난치성 질환 환자 병명 치료 지속 어려움 여기 국민 청원 장애 정도 판정 기준 해당 난치성 질환 환자 어려움 공론 대입 수험 장애 등록증 복지 카드 의무 기록 사본 진단서 소견 서 등 서류 검토 시험편 제공 대상자 선정 수능 응시 등 도움 수 그 장애 등급 판정 기준 해당 난치성 질 환자 장애 등급 장애 등급제 폐지 이후 장애 정도 판정 바 때문 특수 교육 대상자 전형 지원 자격 어려움 한쪽 이 한쪽 이 복지 제도 사각지대 소수자 우대 정책 사각지대 것 인터넷 사례 조사 이 경우 존재 국민 연금 공단 보건복지부 등 유관 기관 장애 정도 현행 판정 기준 준용 것 이외 도리 법령 장애 등급 판정 기준 해당 난치성 질 환자 환자 개인 신체 특성 상황 고려 장애 등급 판정 국민 권익 위원회 결정 환자 사람 사람 병명 처지 탓 포괄 적용 데 어려움 게 짐작 이유 국민 청원 작성 장애 복지 법 개정 소수자 우대 정책 수혜자 난치성 질환 환자 포함 여지 마련 것 청와대 답변 난치성 질환 환자 신체 불편 필요 지원 데 유관 기관 이 협조 정책 개선 데 권위 근거 마련 것 동의 감사,1,12
2,2021-12-19 15:41,보건복지,2020-01-03,390,584302,청원종료,적폐 복지센터를 퇴출시킵시다.,법령 장애 등급 판정 기준 해당 난치성 질 환자 환자 개인 신체 특성 상황 고려 장애 등급 판정 국민 권익 위원회 결정 환자 사람 사람 병명 처지 탓 포괄 적용 데 어려움 게 짐작,1,12
3,2021-12-19 15:41,보건복지,2020-01-03,1230,584304,청원종료,보험사들의 '대국민 보험사기극'이 맞는지 국민 여러분들과 대통령님 판단해 주십시요. 국회는 보험사들의 위법탈법 보험만행을 규제하고 처벌할 특별법을 제정해 주십시요.,이유 국민 청원 작성 장애 복지 법 개정 소수자 우대 정책 수혜자 난치성 질환 환자 포함 여지 마련 것,1,12
4,2021-12-19 15:41,보건복지,2020-01-03,208,584305,청원종료,맘모톰 수술비 급여 적용 촉구합니다.,맘 톰 초음파 유도 하의 진공 보조 장치 이용 유방 양성 병변 절제술 의료 시술 인정 것 뉴스 저 여성 건강 검진 등 양성 종양 발견 경우 데 경우 의료 기관 내 원시 대부분 의사 맘 톰 시술 권유 맘 톰 시술 시술 시간 효과 건 시술 경험 여성 누구 인정 것 문제 종양 갯 수당 수십 만 원 수백만 원 비용 의료 기관 비용 것 국가 문재인 케어 국민 의료비 부담 의원 급 시행 맘 톰 시술 비용 경우 급여 때문 피부 것 현실 이 대한민국 국민 여성 맘 톰 시술 비용 급여 급여 여부 검토 상황 급여 적용 촉구 바,1,1
5,2021-12-19 15:42,보건복지,2020-01-06,488,584314,청원종료,"공무원연금, 군인연금 폐지하고 국민연금과 통합해주십시오.",사랑 딸 하늘 엄마 한줌 재로 딸 땅 정신 지경 딸아이 기운 글 살 직장 생활 시작 이 월급 엄마 아빠 외할머니 선물 뭘 고민 아이 남 성실 이 일 수 사람 손 발 것 꿈 제 딸 사망 가해자 딸 남자 친구 가해자 년 월 일 새벽 시 분경 딸 오피스텔 층 외부 통로 엘리베이터 앞 머리 배 폭행 머리 벽 수차례 딸 위 무릎 머리 주먹 등 사람 사람 수 폭력 자행 도착 때 딸 심정지 상태 머리 피 응급실 뇌출혈 치료 수 방법 심장 강제 뒤 인공호흡기 이 중환자실 주 하늘 저희 가족 세상 고통 속 하루하루 가해자 거리 일 듯 생활 구속 수사 가해자 병원 장례식 가해자 운동 수상 인명 구조 요원 자격증 건 살 청년 반면 딸 체격 사람 딸 생각 심장 조여 숨 심정 가해자 고의 주장 자신 힘 여자 수 걸 수상 인명 구조 요원 자격증 딸 생명 위험 걸 구조 노력 정신 숨 딸 바닥 머리 행동 이유 무엇 술 허위 신고 이유 무엇 일반인 의식 사람 신고 게 정상 가해자 자신 죄 딸 곳 뒤 한참 허위 신고 딸 방치 골든 타임 행동 살인 의도 가해자 말 폭행 사유 둘 연인 관계 사람 것 이게 사람 이유 분노 가해자 자신 유리 대로 진술 수 피해자 딸 의식 이제 세상 사람 말 수 제 딸 일 호소 수 가해자 피해자 입장 생각 피해자 가족 목소리 귀 이번 앞 계속 이 것 아이 여성 등 약자 폭력 살인 여성 폭행 죽음 가해자 구속 수사 신상 공개 촉구 연인 관계 사회 약자 폭행 범죄 엄벌 데이트 폭력 가중 처벌 법 신설 촉구 이상 이 일 관심 살 생 이 하늘 나라 수,1,2
6,2021-12-19 15:42,보건복지,2020-01-06,645,584315,청원종료,특발성혈소판감소증에대한 산정특례지원제외 재검토 요청!! 누구를 위한 복지입니까!!,최근 남초 커뮤니티 사이트 로그인 인증 수 비밀 게시판 그곳 일반인 일상 사진 당사자 동의 게시 노골 성 착취 사실 논란 게시판 자료 럽 시작 쇼핑몰 속옷 후기 인증 사진 여중생 여고생 미성년자 노출 사진 종류 다양 공통점 당사자 동의 것 게시판 여고생 교복 미성년자 언급 키 워드 하나 섹스 판타지 작용 문제 이 일반 여성 인 스타 관음 뒤 당사자 허락 노출 사진 과정 여자 여자 주소 어디 등 질 답 무분별 신상 이 자행 등 차 범죄 우려 실정 이 게시판 조 회수 수백 수천 수만 이 정도 규모 게시판 피해 수위 생각 현실 이상 정부 당국 성범죄 반복 게시판 좌시 정부 이 규제 수사 기관 가해자 수사 엄벌,1,1
7,2021-12-19 15:42,보건복지,2020-01-06,5458,584325,청원종료,CBD-OS(Epidyolex) 재고 확보를 부탁 드립니다.,한국희 귀 필수 의약품 센터 예산 부족 년 재고 확보 가능 안내 문자 안내문 센터 전화 물량 병 정도 지금 공급량 월 문제 수령 가능 것 병 원 돈 아이 난치성 뇌전증 치료 복용 중 중요 약 저 뿐 약 아이 부모 처 승인 병 몸무게 기준 주 복용 중 몸무게 달 병 소진 아이 부모 재고 소진 이후 개별 수입 단가 주 이내 기간 동안 가정 달 병 섭취 환자 기준 병 처방 병 처방 번 구입 가격 기준 원 번 납부 비용 부담 발생 식 약 처 병 허가 번 양 승인 지도 의문 현재 건강 보험 적용 약 환 환자 복용 복용 시점 개별 수입 단가 상승 약 전 부족 걱정 환자 환자 가족 고통 지도 생명 지장 병 약 것 건강 보험 약 처방 수 밖 환자 환자 가족 고통 예산 시스템 동일 처방 수령 가능,1,1
8,2021-12-19 15:42,보건복지,2020-01-06,200,584329,청원종료,병원에서 치료 중인 환자 내쫒은 대학병원장,저 죄 제재 것 저 포함 명 환자 피해 법 유용 범 사각지대 이용 사람 수 법 사각지대 사람 겁니까 구제 방법 건지요 국민 시민 주민 대책 건가요 물 사람 지푸라기 심정 일 글 글 재주 정리 글 끝 감사 저 대 주부 저 변호사 법 공부 아줌마 이번 일 청원 글 밤 변론 자료 관련 법 제 수 자료 한정 어려움 용기 청원 글 인천 서구 대학 병원 병원장 횡포 고발 의료 기관 장 의료 보건 의료 관계 법령 수 관리 것 일 환자 권익 의료 서비스 제공 대학 병원 병원장 환자 권익 조롱 의료법 위반 행위 의심 상황 청원 관련 법령 의료법 조 항 의료인 진료 거부 금지 의무 부과 사유 경우 이 허용 진료 거부 사유 구체 규정 법원 판례 가지 제시 내용 환자 해당 병원 보험 치료 것 일반 환자 치료 요청 병원 경우 전원 결정 불만 표시 뿐 병원 수술 것 요청 경우 입원 치료 필요 의료 기관 환자 퇴원 요구 경우 의료 기관 폐업 과정 입원 환자 병원 전원 경우 대기 중 환자 호승 차량 이동 시간 부내 복귀 바람 진료 경우 보건 복지 부 환자 보호자 등 해당 의료인 모욕죄 명예훼손 죄 폭행죄 업무 방해죄 해당 수 상황 형성 의료인 의료 행위 수 경우 진료 거부 사유 의료법 시행 규칙 조 병원 휴업 폐업 경우 해당 병원 치료 환자 일 전 문자 병원 인터넷 홈페이지 매체 폐업 것 환자 진료 기록부 처리 것 안내 제공 것 의료법 조 종합 병원 개설 조건 개 이상 병상 규정 병 이상 병상 이하 경우 이하 생략 병상 초과 경우 개 이상 필수 진료 과목 진료 전속 전문의 필수 진료 과목 내과 외과 소아 청소년 산부인과 영상 학과 마취 통증 학과 진단 검사 의학 병리 정신 건강 학과 치과 이해 법 조항 참고 진료 환자 의사 간 암묵 동의 진행 청약 승낙 의사 표시 계약 유효 병원 계약서 치료 계획서 비용 설명 서명 병원 계약 불이행 예상 상황 피해 환자 보호자 속수무책 병원장 독단 판단 결정 환자 수백만 원 돈 선납 일방 진료 중단 진료 중 선생 사표 대타 선생 이유 병원 환자 공지 폐업 원 환자 병원 소개 소개 병원 의사 소견 참고 뿐 대학 병원 치료 승계 수 검사 비 검사 후 진료 가능 진료 병원 병원 진료 승계 것 실무 가능 일 대학 병원 수백만 원 비용 계약 불이행 수십만 원 수백만 원 금액 승계 병원 비용 결제 재검사 진료 수 피해 인원 명 추측 개인 정보 제 상황 환자 겨자 이중고 승계 병원 사람 병원 폐업 보건소 대학 종합 병원 시청 보건소 팀장 일 대학 병원 측 변호인 편 그곳 보건소 팀장 병원 폐업 걸요 선생 사표 대타 선생 환자 진료 수 병원 의무 기록 치료 뭐 문젠데요 문제 발생 파악 팀장 다음 날 인천 시청 과 전화 병원 폐업 사실 치과 의사 선생 인원 수정 신고 경악 일 치과 전체 폐업 수 치과 과목 교정 폐업 신고 수 치과 과 운영 운영 것 병원장 재량 병원 재량 치과 과목 폐업 수 치과 자체 폐업 수 법 제한 제 의료법 위반 의심 것 의료법 조 위 반 전속 전문의 교정 선생 전속 전문 객원 교수 이것 의료법 위반 의료법 조 항 위반 진료 거부 의료법 위반 행위 때문 폐업 계획 거짓말 꼼수 것 종합 병원 치과 필수 과목 폐업 수 중 치과 과목 중 과목 폐업 수 입니다 휴업 치료 시기 부분 환자 손해 배상 때문 휴업 수 진료 거부 수 권모술수 폐업 단어 사용 것 환자 진료 거부 진료 자체 수 생각 수 판단 수 때문 의료법 시행 규칙 조 위 반 치과 필수 과목 폐업 수 폐업 대학 병원 홈페이지 치과 교정 진료 일 게재 대타 선생 부재 휴업 수 휴업 환자 일 전 통보 홈페이지 일 병원장 환자 개인 변호사 비 소송비용 소송 꺼 생각 저 개인 고소 소송 글 국민 여러분 이것 의료법 위반 행위 병원장 환자 피해 최소 노력 환자 권익 의료 서비스 제공 고가 의료 서비스 할인 등 이벤트 환자 보호자 유인 계약 책임 대타 의사 이유 직무 윤리 위반 행위 치과 교정 장시간 동안 프로젝트 애 경과 치료 과목 제 딸 살 교정 시작 살 차 교정 살 늦둥이 딸 살 유치 영구치 일반 치과 일반 치과 교정 치료 교정 전문 치과 교정 선납 치료비 기사 터 안심 수 수 곳 곳 대학 병원 치과 대학 병원 사기 사기 줄 누가 치과 선생 년 동안 친절 치료 병원 병원장 횡포 혀 내두 정도 누가 폐업 결정 누가 계약 행 보상 저 물음 원무 과 병원장 일 결정 내용 병원장 말 수 밖 환자 폐업 단어 상황 종료 것 저희 딸 치아 교정 것 차 교정 사이 잇몸 절개 수술 유도 장치 차 교정 치아 과정 시간 끈기 치료 살 아이 스트레스 년 차 치료 중 살 며칠 후면 살 차 교정 년 전 계약 상태 나름 형편 수백만 원 치료비 부담 나중 얼굴 변화 수 지금 치료 것 다행 생각 치료 대학 병원 치과 의 사기 줄 누가 환자 환자 보호자 이용 심리 것 대학 병원 할인 행사 이벤트 행사 년 전 계약 물거품 꺼 것 상상 저 인행 이벤트 행사 대학 병원 수백만 원 선금 일방 치료 중단 줄 계약 치료 것 인천시 서구 대학 병원 병원장 보시오 치료 계약 직원 퇴사 내용 파악 발뺌 비상식 행동 환자 의무 의료 지원 보건 복지 부령 장시간 진료 계약 체결 경우 근로 계약 것 진료 계약 불이행 환자 손해 발생 피해자 보험금 지급 것 내용 의무 가입 당신 내용 인천 서구 대학 병원 병원장 저 포함 피해 교정 환자 이행 계약 내용 병원 발생 검사 비 교정 가격 보상 마지막 법원 판례 결정 문 인용 병원장 환자 진료 계약 일시 이행지 체 상태 사회 통념 종국 행불 능 봄 이 환불 계획 병원 교정 과 진료비 전액 손해 배상 생각 게시물 일부 내용 국민 청원 요건 위배 관리자 수정,1,1
9,2021-12-19 15:42,보건복지,2020-01-07,1393,584339,청원종료,백반증 환자 보험  적용해주세요,백반증 고생 딸아이 엄마 세 때 시작 백반증 배 엉덩이 한쪽 다리 전체 급속도 여름 반바지 칠부바지 수 병원 군데 원인 치료 년 레이 치료 시술 신세계 다행 생각 그것 얼마 이상 치료 수 것 말 보험 보험 부위 때문 보험 부분 딸아이 이병 약속 달 번 시술 보험 부위 무릎 위 몸통 부분 보험 원 동전 크기 시술 비용 일 백만 원 우리 서민 비용 백반증 부위 시술 것 앞 근거 몸통 미용 생각 것 수 대중목욕탕 수 사람 시선 번 엄마 저 아이 마음 상처 백반증 주변 이 환자 고통 이 가격 산 치료 것 조 차 보험 부위 백반증 환자 치료 수 소리,1,5
10,2021-12-19 15:42,보건복지,2020-01-07,9405,584344,청원종료,당신의 아버지를 두 달 된 신규간호사에게 맡기고 싶으신가요?,당신 아버지 달 신규 간호사 가요 대학 병원 모순 운영 논리 속 환자 간호사 보호 당신 아버지 건강 문제 인생 시간 아버지 달 신규 간호사 수 저 저 구 대학 병원 근무 신규 간호사 저희 병원 대한민국 병원 명성 간호사 연봉 곳 곳 간호사 마음 당신 케어 간호 인력 부족 정확 뜻 우리 나라 대학 간호학 년 제로 통 일 정규 과정 공부 직장 근무 대학 과정 중 이뇨제 마약 혈압 혈당 강하 고위험 약물 적 제 진료 과 저 환자 수술 준비 후 처치 등 시행 적 번 공부 간호학 과 년 치열 노력 말씀 주사기 번 적 사람 신규 간호사 대학 병원 입사 동시 용량 차이 사람 수 위험 약물 환자 내외 과 상태 경학 상태 섭취 배설 상태 약물 효과 부작용 등 파악 입원 당신 아버지 치유 대부분 병동 명 환자 때문 명 모두 것 파악 액팅 간호사 처치 입사 전 병원 달 신규 트레이닝 기간 동안 일 병동 줄 병원 트레이닝 때 번 수술 시술 준비 후 처치 고위험 약물 사용 등 저 제 근무 날 압박감 스트레스 겁 제 일 집중 공부 직접 간접 환자 수 국가 병원 진정 환자 안전 생각 간호사 병동 배정 뒤 병동 공부 경험 수 시간 달 부족 기간 현실 부서 배치 다음 날 출근 다음 주 달 신규 트레이닝 기간 처치 간호 기록 처방 분류 약분 것 말 트레이닝 기간 약물 의사 처방 대로 큰일 중복 환자 약 간호사 약 효과 쓰임 부작용 간호사 사람 일 의사 약사 거 간호사 것 수 생각 것 마음 정규 근무 시간 아침 번 저녁 번 밤번 출근 시간 아침 번 시 출근 저 시 분 병동 출근 환자 파악 공부 별도 도서관 회의실 병동 출근 전 선배 간호사 꾸중 출근 병원 막내 잡일 막내 문화 새벽 시 분 출근 일반 회사 분 근무 시간 분 출근 상사 이야기 회사 이해 병원 신규 간호사 것 퇴근 시간 오늘 출근 퇴근 수 무록 시간 간호사 교대 근무자 일 근무 시간 시간 것 모두 것 하루 시간 노동 만큼 급여 것 시간 근무 수 일 시간 안 말 것 애초 말 말 병원 간호사 문화 저 포함 신규 간호사 내 부족 공부 일 내 부족 생각 말 가스 라이팅 것 차 차 간호 기록 메모 노티 처치 약 등등 것 연차 간호사 시간 때문 근무 끝 정리 경우 시간 시행 차 환자 상태 기록 것 차 차 것 말 대로 보통 시간 근무 일 밥 끼 퇴근 잠 시간 공부 하루 시간 생활 병원 일 생활 달 몸 마음 얼굴 표정 피폐 상태 당신 아버지 건강 수 의료진 건강 환자 건강 케어 것 자체 모순 상태 환자 친절 수 진심 간호 수 목사 신 성도 설교 것 저 신규 간호사 선임 간호사 후배 자신 스트레스 근원 여기 생각 개인 인성 문제 병원 관리자 고년 차 신규 간호사 일 휴일 퇴근 후 병원 환자 파악 것 생각 달 전 저희 병원 본인 근무 시간 컴퓨터 전산 수 근무 시간 신규 간호사 출근 것 시작 일 취지 전산 근무 시간 간호사 업무 량 환자 당 간호사 수 간호사 반발 환자 파악 막내 전산 결국 서로 아이디 공유 일 병원 근무 시간 업무 간호사 환자 수 막내 옛날 문화 잡무 외국 사례 기사 개 우리 나라 병원 문화 간호사 문화 발전 수 병원 운 영진 나랏일 사람 간호사 부족 정확 뜻 간호학 면허 남발 간호사 것 간호사 근무 간 자 병원 환자 당 간호사 수 조절 시간대 근무 간호사 수 간호사 앞 나 겁니다 지금 아무것 신규 간호사 알 반복 때문 입원 당신 아버지 질 의료 경험 수 것 병원 국가 세월 낭비 밑 독 물 붓기 글 간호사 병원 일 인생 간호 게 인생 속 간호 수 건 사항 병원 간호 인력 공급 법 강제성 마련 근무 시간 철저 감시 시간 외 근무 보상 촉구 병원 교대 근무자 추가 휴일 보장 제도 마련 병원 일 관련 발생 정신 신체 스트레스 신규 간호사 년차 간호사 보호 제도 마련 미흡 체계 교육 절차 극단 시간 부족 발생 근절 부당 행태 관리자 익명 신고 수 제도 마련 일 관련 공부 량 그 시간 소모 개선 방안 마련 신규 간호사 처우 개선 근무 중 시간 보장 촉구 일반직 식사 시간 보장 게시물 일부 내용 국민 청원 요건 위배 관리자 수정,1,15
